precio_noche,estrellas,puntuacion,noches,features,scaledFeatures,prediction
68450.0,0.0,8.6,1.0,"[68450.0,0.0,8.6,1.0]","[0.37311078617650023,0.0,3.247417819692088,4.678687769727618]",0
345171.0,3.0,8.6,1.0,"[345171.0,3.0,8.6,1.0]","[1.8814758681567385,1.6032363542367636,3.247417819692088,4.678687769727618]",1
450668.0,5.0,9.5,1.0,"[450668.0,5.0,9.5,1.0]","[2.456524350395778,2.672060590394606,3.5872638705900974,4.678687769727618]",1
165000.0,0.0,9.8,1.0,"[165000.0,0.0,9.8,1.0]","[0.8993904999141349,0.0,3.700545887556101,4.678687769727618]",0
109604.0,0.0,7.8,1.0,"[109604.0,0.0,7.8,1.0]","[0.5974351294096294,0.0,2.94533244111608,4.678687769727618]",0
322117.0,4.0,8.0,1.0,"[322117.0,4.0,8.0,1.0]","[1.7558119373384327,2.1376484723156848,3.020853785760082,4.678687769727618]",1
33349.0,0.0,8.2,1.0,"[33349.0,0.0,8.2,1.0]","[0.18178044716143324,0.0,3.096375130404084,4.678687769727618]",0
375000.0,0.0,0.0,1.0,"[375000.0,0.0,0.0,1.0]","[2.0440693179866702,0.0,0.0,4.678687769727618]",0
134900.0,3.0,7.8,1.0,"[134900.0,3.0,7.8,1.0]","[0.7353198693237382,1.6032363542367636,2.94533244111608,4.678687769727618]",1
45125.0,0.0,9.6,1.0,"[45125.0,0.0,9.6,1.0]","[0.2459696745977293,0.0,3.625024542912098,4.678687769727618]",0
70304.0,0.0,9.0,1.0,"[70304.0,0.0,9.0,1.0]","[0.3832166648846263,0.0,3.3984605089800923,4.678687769727618]",0
249021.0,5.0,7.0,1.0,"[249021.0,5.0,7.0,1.0]","[1.3573764950249563,2.672060590394606,2.643247062540072,4.678687769727618]",1
60390.0,0.0,9.8,1.0,"[60390.0,0.0,9.8,1.0]","[0.32917692296857337,0.0,3.700545887556101,4.678687769727618]",0
71638.0,3.0,8.7,1.0,"[71638.0,3.0,8.7,1.0]","[0.39048810080514423,1.6032363542367636,3.285178492014089,4.678687769727618]",1
557868.0,0.0,8.9,1.0,"[557868.0,0.0,8.9,1.0]","[3.040855632764234,0.0,3.3606998366580916,4.678687769727618]",0
304454.0,0.0,8.7,1.0,"[304454.0,0.0,8.7,1.0]","[1.6595335470355033,0.0,3.285178492014089,4.678687769727618]",0
368900.0,0.0,7.6,1.0,"[368900.0,0.0,7.6,1.0]","[2.0108191237474204,0.0,2.8698110964720778,4.678687769727618]",0
99000.0,0.0,7.9,1.0,"[99000.0,0.0,7.9,1.0]","[0.539634299948481,0.0,2.9830931134380814,4.678687769727618]",0
136500.0,0.0,9.1,1.0,"[136500.0,0.0,9.1,1.0]","[0.744041231747148,0.0,3.436221181302093,4.678687769727618]",0
35935.0,0.0,8.7,1.0,"[35935.0,0.0,8.7,1.0]","[0.19587634917826932,0.0,3.285178492014089,4.678687769727618]",0
268636.0,0.0,8.8,1.0,"[268636.0,0.0,8.8,1.0]","[1.4642949474844458,0.0,3.322939164336091,4.678687769727618]",0
328500.0,0.0,10.0,1.0,"[328500.0,0.0,10.0,1.0]","[1.790604722556323,0.0,3.7760672322001025,4.678687769727618]",0
327038.0,0.0,9.3,1.0,"[327038.0,0.0,9.3,1.0]","[1.7826355776419325,0.0,3.511742525946096,4.678687769727618]",0
804600.0,0.0,0.0,1.0,"[804600.0,0.0,0.0,1.0]","[4.3857551286722,0.0,0.0,4.678687769727618]",0
191083.0,0.0,9.1,1.0,"[191083.0,0.0,9.1,1.0]","[1.0415650599702584,0.0,3.436221181302093,4.678687769727618]",0
146775.0,3.0,8.1,1.0,"[146775.0,3.0,8.1,1.0]","[0.8000487310599828,1.6032363542367636,3.058614458082083,4.678687769727618]",1
102166.0,0.0,8.5,1.0,"[102166.0,0.0,8.5,1.0]","[0.556891695843803,0.0,3.2096571473700872,4.678687769727618]",0
171000.0,0.0,9.2,1.0,"[171000.0,0.0,9.2,1.0]","[0.9320956090019217,0.0,3.4739818536240943,4.678687769727618]",0
93056.0,0.0,0.0,1.0,"[93056.0,0.0,0.0,1.0]","[0.5072344385455135,0.0,0.0,4.678687769727618]",0
144075.0,0.0,8.5,1.0,"[144075.0,0.0,8.5,1.0]","[0.7853314319704787,0.0,3.2096571473700872,4.678687769727618]",0
76091.0,3.0,7.9,1.0,"[76091.0,3.0,7.9,1.0]","[0.4147607425997966,1.6032363542367636,2.9830931134380814,4.678687769727618]",1
217258.0,4.0,8.7,1.0,"[217258.0,4.0,8.7,1.0]","[1.184241098365728,2.1376484723156848,3.285178492014089,4.678687769727618]",1
76614.0,4.0,8.4,1.0,"[76614.0,4.0,8.4,1.0]","[0.41761153794194866,2.1376484723156848,3.1718964750480865,4.678687769727618]",1
