marca,precio_raw,rating,opiniones,precio_kg,features,scaledFeatures,prediction
,,,,,"[0.0,4.0,7.3,1.0]","[0.0,1.9292810393004016,2.516280863819115,3.709110714077983]",1
,,,,,"[0.0,3.0,8.8,1.0]","[0.0,1.4469607794753012,3.033324876932632,3.709110714077983]",1
,,,,,"[0.0,5.0,8.8,1.0]","[0.0,2.4116012991255023,3.033324876932632,3.709110714077983]",1
,,,,,"[0.0,4.0,6.6,1.0]","[0.0,1.9292810393004016,2.274993657699474,3.709110714077983]",1
,,,,,"[0.0,2.0,8.1,1.0]","[0.0,0.9646405196502008,2.7920376708129906,3.709110714077983]",1
,,,,,"[0.0,5.0,9.5,1.0]","[0.0,2.4116012991255023,3.274612083052273,3.709110714077983]",1
,,,,,"[0.0,4.0,9.4,1.0]","[0.0,1.9292810393004016,3.2401424821780385,3.709110714077983]",1
,,,,,"[0.0,3.0,8.1,1.0]","[0.0,1.4469607794753012,2.7920376708129906,3.709110714077983]",1
,,,,,"[0.0,2.0,6.9,1.0]","[0.0,0.9646405196502008,2.378402460322177,3.709110714077983]",1
,,,,,"[0.0,5.0,8.5,1.0]","[0.0,2.4116012991255023,2.9299160743099284,3.709110714077983]",1
,,,,,"[0.0,5.0,9.8,1.0]","[0.0,2.4116012991255023,3.3780208856749767,3.709110714077983]",1
,,,,,"[0.0,4.0,7.9,1.0]","[0.0,1.9292810393004016,2.7230984690645217,3.709110714077983]",1
,,,,,"[0.0,3.0,8.9,1.0]","[0.0,1.4469607794753012,3.067794477806866,3.709110714077983]",1
,,,,,"[0.0,5.0,6.4,1.0]","[0.0,2.4116012991255023,2.206054455951005,3.709110714077983]",1
,,,,,"[0.0,4.0,9.5,1.0]","[0.0,1.9292810393004016,3.274612083052273,3.709110714077983]",1
,,,,,"[0.0,3.0,7.3,1.0]","[0.0,1.4469607794753012,2.516280863819115,3.709110714077983]",1
,,,,,"[0.0,4.0,7.0,1.0]","[0.0,1.9292810393004016,2.4128720611964116,3.709110714077983]",1
,,,,,"[0.0,2.0,8.9,1.0]","[0.0,0.9646405196502008,3.067794477806866,3.709110714077983]",1
,,,,,"[0.0,1.0,7.6,1.0]","[0.0,0.4823202598251004,2.6196896664418183,3.709110714077983]",1
,,,,,"[0.0,2.0,7.6,1.0]","[0.0,0.9646405196502008,2.6196896664418183,3.709110714077983]",1
,,,,,"[0.0,5.0,7.9,1.0]","[0.0,2.4116012991255023,2.7230984690645217,3.709110714077983]",1
,,,,,"[0.0,5.0,8.1,1.0]","[0.0,2.4116012991255023,2.7920376708129906,3.709110714077983]",1
,,,,,"[0.0,5.0,7.8,1.0]","[0.0,2.4116012991255023,2.6886288681902872,3.709110714077983]",1
,,,,,"[0.0,3.0,7.0,1.0]","[0.0,1.4469607794753012,2.4128720611964116,3.709110714077983]",1
,,,,,"[0.0,3.0,6.1,1.0]","[0.0,1.4469607794753012,2.1026456533283016,3.709110714077983]",1
,,,,,"[0.0,2.0,10.0,1.0]","[0.0,0.9646405196502008,3.446960087423445,3.709110714077983]",1
,,,,,"[0.0,2.0,8.8,1.0]","[0.0,0.9646405196502008,3.033324876932632,3.709110714077983]",1
,,,,,"[0.0,5.0,6.5,1.0]","[0.0,2.4116012991255023,2.2405240568252394,3.709110714077983]",1
,,,,,"[0.0,4.0,7.5,1.0]","[0.0,1.9292810393004016,2.585220065567584,3.709110714077983]",1
,,,,,"[0.0,5.0,6.8,1.0]","[0.0,2.4116012991255023,2.3439328594479427,3.709110714077983]",1
,,,,,"[0.0,1.0,6.9,1.0]","[0.0,0.4823202598251004,2.378402460322177,3.709110714077983]",1
,,,,,"[0.0,1.0,6.5,1.0]","[0.0,0.4823202598251004,2.2405240568252394,3.709110714077983]",1
,,,,,"[0.0,0.0,8.3,1.0]","[0.0,0.0,2.86097687256146,3.709110714077983]",1
,,,,,"[0.0,5.0,8.2,1.0]","[0.0,2.4116012991255023,2.8265072716872246,3.709110714077983]",1
,,,,,"[0.0,4.0,8.4,1.0]","[0.0,1.9292810393004016,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,4.0,9.0,1.0]","[0.0,1.9292810393004016,3.1022640786811007,3.709110714077983]",1
,,,,,"[0.0,0.0,8.8,1.0]","[0.0,0.0,3.033324876932632,3.709110714077983]",1
,,,,,"[0.0,0.0,8.0,1.0]","[0.0,0.0,2.757568069938756,3.709110714077983]",1
,,,,,"[0.0,0.0,8.6,1.0]","[0.0,0.0,2.964385675184163,3.709110714077983]",1
,,,,,"[0.0,4.0,9.2,1.0]","[0.0,1.9292810393004016,3.171203280429569,3.709110714077983]",1
,,,,,"[0.0,0.0,9.2,1.0]","[0.0,0.0,3.171203280429569,3.709110714077983]",1
,,,,,"[0.0,0.0,9.3,1.0]","[0.0,0.0,3.2056728813038045,3.709110714077983]",1
,,,,,"[0.0,0.0,10.0,1.0]","[0.0,0.0,3.446960087423445,3.709110714077983]",1
,,,,,"[0.0,0.0,8.9,1.0]","[0.0,0.0,3.067794477806866,3.709110714077983]",1
,,,,,"[0.0,0.0,9.4,1.0]","[0.0,0.0,3.2401424821780385,3.709110714077983]",1
,,,,,"[0.0,0.0,8.2,1.0]","[0.0,0.0,2.8265072716872246,3.709110714077983]",1
,,,,,"[0.0,0.0,9.6,1.0]","[0.0,0.0,3.3090816839265074,3.709110714077983]",1
,,,,,"[0.0,0.0,8.5,1.0]","[0.0,0.0,2.9299160743099284,3.709110714077983]",1
,,,,,"[0.0,0.0,9.3,1.0]","[0.0,0.0,3.2056728813038045,3.709110714077983]",1
,,,,,"[0.0,0.0,10.0,1.0]","[0.0,0.0,3.446960087423445,3.709110714077983]",1
,,,,,"[0.0,0.0,10.0,1.0]","[0.0,0.0,3.446960087423445,3.709110714077983]",1
,,,,,"[0.0,0.0,9.7,1.0]","[0.0,0.0,3.3435512848007414,3.709110714077983]",1
,,,,,"[0.0,4.0,8.8,1.0]","[0.0,1.9292810393004016,3.033324876932632,3.709110714077983]",1
,,,,,"[0.0,0.0,8.1,1.0]","[0.0,0.0,2.7920376708129906,3.709110714077983]",1
,,,,,"[0.0,5.0,8.8,1.0]","[0.0,2.4116012991255023,3.033324876932632,3.709110714077983]",1
,,,,,"[0.0,0.0,7.1,1.0]","[0.0,0.0,2.447341662070646,3.709110714077983]",1
,,,,,"[0.0,0.0,7.1,1.0]","[0.0,0.0,2.447341662070646,3.709110714077983]",1
,,,,,"[0.0,0.0,8.3,1.0]","[0.0,0.0,2.86097687256146,3.709110714077983]",1
,,,,,"[0.0,0.0,8.2,1.0]","[0.0,0.0,2.8265072716872246,3.709110714077983]",1
,,,,,"[0.0,0.0,4.0,1.0]","[0.0,0.0,1.378784034969378,3.709110714077983]",0
,,,,,"[0.0,0.0,5.5,1.0]","[0.0,0.0,1.8958280480828948,3.709110714077983]",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"[0.0,0.0,6.0,1.0]","[0.0,0.0,2.068176052454067,3.709110714077983]",0
,,,,,"[0.0,0.0,9.5,1.0]","[0.0,0.0,3.274612083052273,3.709110714077983]",1
,,,,,"[0.0,0.0,9.2,1.0]","[0.0,0.0,3.171203280429569,3.709110714077983]",1
,,,,,"[0.0,0.0,9.4,1.0]","[0.0,0.0,3.2401424821780385,3.709110714077983]",1
,,,,,"[0.0,0.0,8.0,1.0]","[0.0,0.0,2.757568069938756,3.709110714077983]",1
,,,,,"[0.0,0.0,8.4,1.0]","[0.0,0.0,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,0.0,8.9,1.0]","[0.0,0.0,3.067794477806866,3.709110714077983]",1
,,,,,"[0.0,0.0,5.7,1.0]","[0.0,0.0,1.9647672498313637,3.709110714077983]",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"[0.0,0.0,7.7,1.0]","[0.0,0.0,2.654159267316053,3.709110714077983]",1
,,,,,"[0.0,0.0,9.1,1.0]","[0.0,0.0,3.136733679555335,3.709110714077983]",1
,,,,,"[0.0,0.0,8.0,1.0]","[0.0,0.0,2.757568069938756,3.709110714077983]",1
,,,,,"[0.0,0.0,9.3,1.0]","[0.0,0.0,3.2056728813038045,3.709110714077983]",1
,,,,,"[0.0,0.0,8.4,1.0]","[0.0,0.0,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,0.0,8.7,1.0]","[0.0,0.0,2.998855276058397,3.709110714077983]",1
,,,,,"[0.0,0.0,8.9,1.0]","[0.0,0.0,3.067794477806866,3.709110714077983]",1
,,,,,"[0.0,0.0,10.0,1.0]","[0.0,0.0,3.446960087423445,3.709110714077983]",1
,,,,,"[0.0,0.0,9.1,1.0]","[0.0,0.0,3.136733679555335,3.709110714077983]",1
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"[0.0,5.0,7.8,1.0]","[0.0,2.4116012991255023,2.6886288681902872,3.709110714077983]",1
,,,,,"[0.0,0.0,8.1,1.0]","[0.0,0.0,2.7920376708129906,3.709110714077983]",1
,,,,,"[0.0,0.0,10.0,1.0]","[0.0,0.0,3.446960087423445,3.709110714077983]",1
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"[0.0,3.0,8.2,1.0]","[0.0,1.4469607794753012,2.8265072716872246,3.709110714077983]",1
,,,,,"[0.0,4.0,8.1,1.0]","[0.0,1.9292810393004016,2.7920376708129906,3.709110714077983]",1
,,,,,"[0.0,4.0,8.4,1.0]","[0.0,1.9292810393004016,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,0.0,8.4,1.0]","[0.0,0.0,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,5.0,8.6,1.0]","[0.0,2.4116012991255023,2.964385675184163,3.709110714077983]",1
,,,,,"[0.0,0.0,9.9,1.0]","[0.0,0.0,3.4124904865492107,3.709110714077983]",1
,,,,,"[0.0,0.0,8.4,1.0]","[0.0,0.0,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,0.0,8.8,1.0]","[0.0,0.0,3.033324876932632,3.709110714077983]",1
,,,,,"[0.0,0.0,10.0,1.0]","[0.0,0.0,3.446960087423445,3.709110714077983]",1
,,,,,"[0.0,0.0,8.3,1.0]","[0.0,0.0,2.86097687256146,3.709110714077983]",1
,,,,,"[0.0,0.0,7.6,1.0]","[0.0,0.0,2.6196896664418183,3.709110714077983]",1
,,,,,"[0.0,0.0,9.4,1.0]","[0.0,0.0,3.2401424821780385,3.709110714077983]",1
,,,,,"[0.0,0.0,8.1,1.0]","[0.0,0.0,2.7920376708129906,3.709110714077983]",1
,,,,,"[0.0,0.0,9.9,1.0]","[0.0,0.0,3.4124904865492107,3.709110714077983]",1
,,,,,"[0.0,0.0,9.6,1.0]","[0.0,0.0,3.3090816839265074,3.709110714077983]",1
,,,,,"[0.0,0.0,9.6,1.0]","[0.0,0.0,3.3090816839265074,3.709110714077983]",1
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"[0.0,0.0,9.4,1.0]","[0.0,0.0,3.2401424821780385,3.709110714077983]",1
,,,,,"[0.0,0.0,9.3,1.0]","[0.0,0.0,3.2056728813038045,3.709110714077983]",1
,,,,,"[0.0,0.0,9.3,1.0]","[0.0,0.0,3.2056728813038045,3.709110714077983]",1
,,,,,"[0.0,0.0,10.0,1.0]","[0.0,0.0,3.446960087423445,3.709110714077983]",1
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"[0.0,0.0,9.9,1.0]","[0.0,0.0,3.4124904865492107,3.709110714077983]",1
,,,,,"[0.0,0.0,9.6,1.0]","[0.0,0.0,3.3090816839265074,3.709110714077983]",1
,,,,,"[0.0,0.0,9.7,1.0]","[0.0,0.0,3.3435512848007414,3.709110714077983]",1
,,,,,"[0.0,0.0,8.2,1.0]","[0.0,0.0,2.8265072716872246,3.709110714077983]",1
,,,,,"[0.0,0.0,10.0,1.0]","[0.0,0.0,3.446960087423445,3.709110714077983]",1
,,,,,"[0.0,0.0,9.6,1.0]","[0.0,0.0,3.3090816839265074,3.709110714077983]",1
,,,,,"[0.0,0.0,9.8,1.0]","[0.0,0.0,3.3780208856749767,3.709110714077983]",1
,,,,,"[0.0,0.0,10.0,1.0]","[0.0,0.0,3.446960087423445,3.709110714077983]",1
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"[0.0,0.0,8.8,1.0]","[0.0,0.0,3.033324876932632,3.709110714077983]",1
,,,,,"[0.0,0.0,8.9,1.0]","[0.0,0.0,3.067794477806866,3.709110714077983]",1
,,,,,"[0.0,4.0,9.0,1.0]","[0.0,1.9292810393004016,3.1022640786811007,3.709110714077983]",1
,,,,,"[0.0,0.0,8.7,1.0]","[0.0,0.0,2.998855276058397,3.709110714077983]",1
,,,,,"[0.0,0.0,9.6,1.0]","[0.0,0.0,3.3090816839265074,3.709110714077983]",1
,,,,,"[0.0,0.0,7.5,1.0]","[0.0,0.0,2.585220065567584,3.709110714077983]",1
,,,,,"[0.0,0.0,7.9,1.0]","[0.0,0.0,2.7230984690645217,3.709110714077983]",1
,,,,,"[0.0,4.0,9.2,1.0]","[0.0,1.9292810393004016,3.171203280429569,3.709110714077983]",1
,,,,,"[0.0,0.0,8.6,1.0]","[0.0,0.0,2.964385675184163,3.709110714077983]",1
,,,,,"[0.0,0.0,8.6,1.0]","[0.0,0.0,2.964385675184163,3.709110714077983]",1
,,,,,"[0.0,0.0,9.5,1.0]","[0.0,0.0,3.274612083052273,3.709110714077983]",1
,,,,,"[0.0,0.0,8.0,1.0]","[0.0,0.0,2.757568069938756,3.709110714077983]",1
,,,,,"[0.0,0.0,8.2,1.0]","[0.0,0.0,2.8265072716872246,3.709110714077983]",1
,,,,,"[0.0,0.0,8.4,1.0]","[0.0,0.0,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,0.0,9.2,1.0]","[0.0,0.0,3.171203280429569,3.709110714077983]",1
,,,,,"[0.0,0.0,7.0,1.0]","[0.0,0.0,2.4128720611964116,3.709110714077983]",1
,,,,,"[0.0,0.0,9.3,1.0]","[0.0,0.0,3.2056728813038045,3.709110714077983]",1
,,,,,"[0.0,0.0,8.4,1.0]","[0.0,0.0,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,0.0,6.5,1.0]","[0.0,0.0,2.2405240568252394,3.709110714077983]",1
,,,,,"[0.0,0.0,9.9,1.0]","[0.0,0.0,3.4124904865492107,3.709110714077983]",1
,,,,,"[0.0,0.0,9.1,1.0]","[0.0,0.0,3.136733679555335,3.709110714077983]",1
,,,,,"[0.0,3.0,7.5,1.0]","[0.0,1.4469607794753012,2.585220065567584,3.709110714077983]",1
,,,,,"[0.0,0.0,8.9,1.0]","[0.0,0.0,3.067794477806866,3.709110714077983]",1
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"[74.0,4.0,8.3,1.0]","[2.442409848303705e-06,1.9292810393004016,2.86097687256146,3.709110714077983]",1
,,,,,"[74.0,4.0,8.3,1.0]","[2.442409848303705e-06,1.9292810393004016,2.86097687256146,3.709110714077983]",1
,,,,,"[74.0,4.0,8.0,1.0]","[2.442409848303705e-06,1.9292810393004016,2.757568069938756,3.709110714077983]",1
,,,,,"[74.0,4.0,8.1,1.0]","[2.442409848303705e-06,1.9292810393004016,2.7920376708129906,3.709110714077983]",1
,,,,,"[74.0,4.0,8.5,1.0]","[2.442409848303705e-06,1.9292810393004016,2.9299160743099284,3.709110714077983]",1
,,,,,"[74.0,4.0,8.6,1.0]","[2.442409848303705e-06,1.9292810393004016,2.964385675184163,3.709110714077983]",1
,,,,,"[126.0,0.0,0.0,1.0]","[4.158697849814417e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[115.0,0.0,0.0,1.0]","[3.7956369264179206e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[146.0,4.0,9.0,1.0]","[4.81880861962623e-06,1.9292810393004016,3.1022640786811007,3.709110714077983]",1
,,,,,"[146.0,0.0,0.0,1.0]","[4.81880861962623e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[146.0,0.0,0.0,1.0]","[4.81880861962623e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[147.0,0.0,0.0,1.0]","[4.85181415811682e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[45.0,4.0,8.7,1.0]","[1.4852492320765776e-06,1.9292810393004016,2.998855276058397,3.709110714077983]",1
,,,,,"[45.0,0.0,0.0,1.0]","[1.4852492320765776e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[146.0,4.0,8.6,1.0]","[4.81880861962623e-06,1.9292810393004016,2.964385675184163,3.709110714077983]",1
,,,,,"[146.0,0.0,0.0,1.0]","[4.81880861962623e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[126.0,0.0,0.0,1.0]","[4.158697849814417e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[123.0,4.0,8.9,1.0]","[4.059681234342646e-06,1.9292810393004016,3.067794477806866,3.709110714077983]",1
,,,,,"[102.0,0.0,0.0,1.0]","[3.3665649260402427e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[89.0,4.0,8.6,1.0]","[2.9374929256625647e-06,1.9292810393004016,2.964385675184163,3.709110714077983]",1
,,,,,"[86.0,4.0,8.3,1.0]","[2.8384763101907927e-06,1.9292810393004016,2.86097687256146,3.709110714077983]",1
,,,,,"[86.0,0.0,0.0,1.0]","[2.8384763101907927e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[108.0,4.0,8.0,1.0]","[3.5645981569837862e-06,1.9292810393004016,2.757568069938756,3.709110714077983]",1
,,,,,"[108.0,0.0,0.0,1.0]","[3.5645981569837862e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[-1166496249.0,0.0,0.0,1.0]","[-38.50083684549907,0.0,0.0,3.709110714077983]",2
,,,,,"[80.0,0.0,0.0,1.0]","[2.640443079247249e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[80.0,0.0,0.0,1.0]","[2.640443079247249e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[130228.0,0.0,0.0,1.0]","[0.004298245266552634,0.0,0.0,3.709110714077983]",0
,,,,,"[149178.0,0.0,0.0,1.0]","[0.004923700220949326,0.0,0.0,3.709110714077983]",0
,,,,,"[-1082994822.0,0.0,0.0,1.0]","[-35.74482728263133,0.0,0.0,3.709110714077983]",2
,,,,,"[-1353598147.0,0.0,0.0,1.0]","[-44.67623574160063,0.0,0.0,3.709110714077983]",2
,,,,,"[525228.0,0.0,0.0,1.0]","[0.017335432970335928,0.0,0.0,3.709110714077983]",0
,,,,,"[53.0,0.0,0.0,1.0]","[1.7492935400013025e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[59.0,0.0,0.0,1.0]","[1.947326770944846e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[179.0,0.0,0.0,1.0]","[5.90799138981572e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[179.0,0.0,0.0,1.0]","[5.90799138981572e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[154.0,0.0,0.0,1.0]","[5.082852927550954e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[154.0,0.0,0.0,1.0]","[5.082852927550954e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[75.0,0.0,0.0,1.0]","[2.475415386794296e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[110.0,0.0,0.0,1.0]","[3.6306092339649674e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[110.0,0.0,0.0,1.0]","[3.6306092339649674e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[18.0,0.0,0.0,1.0]","[5.94099692830631e-07,0.0,0.0,3.709110714077983]",0
,,,,,"[26.0,0.0,0.0,1.0]","[8.58144000755356e-07,0.0,0.0,3.709110714077983]",0
,,,,,"[32.0,0.0,0.0,1.0]","[1.0561772316988996e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[33.0,0.0,0.0,1.0]","[1.0891827701894902e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[39.0,0.0,0.0,1.0]","[1.287216001133034e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[32.0,0.0,0.0,1.0]","[1.0561772316988996e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[192.0,0.0,0.0,1.0]","[6.337063390193397e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[192.0,0.0,0.0,1.0]","[6.337063390193397e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[192.0,0.0,0.0,1.0]","[6.337063390193397e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[235.0,0.0,0.0,1.0]","[7.756301545288795e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[235.0,0.0,0.0,1.0]","[7.756301545288795e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[150.0,0.0,0.0,1.0]","[4.950830773588592e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[150.0,0.0,0.0,1.0]","[4.950830773588592e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[86.0,0.0,0.0,1.0]","[2.8384763101907927e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[48.0,0.0,0.0,1.0]","[1.5842658475483493e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[158.0,0.0,0.0,1.0]","[5.214875081513317e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[158.0,0.0,0.0,1.0]","[5.214875081513317e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[52.0,0.0,0.0,1.0]","[1.716288001510712e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[64.0,0.0,0.0,1.0]","[2.1123544633977993e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[64.0,0.0,0.0,1.0]","[2.1123544633977993e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[34.0,0.0,0.0,1.0]","[1.1221883086800808e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[74.0,0.0,0.0,1.0]","[2.442409848303705e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[74.0,0.0,0.0,1.0]","[2.442409848303705e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[74.0,0.0,0.0,1.0]","[2.442409848303705e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[95.0,0.0,0.0,1.0]","[3.1355261566061083e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[40.0,0.0,0.0,1.0]","[1.3202215396236246e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[192.0,0.0,0.0,1.0]","[6.337063390193397e-06,0.0,0.0,3.709110714077983]",0
,,,,,"[64.0,0.0,0.0,1.0]","[2.1123544633977993e-06,0.0,0.0,3.709110714077983]",0
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"[0.0,0.0,8.0,1.0]","[0.0,0.0,2.757568069938756,3.709110714077983]",1
,,,,,"[0.0,3.0,8.0,1.0]","[0.0,1.4469607794753012,2.757568069938756,3.709110714077983]",1
,,,,,"[0.0,4.0,8.8,1.0]","[0.0,1.9292810393004016,3.033324876932632,3.709110714077983]",1
,,,,,"[0.0,3.0,8.3,1.0]","[0.0,1.4469607794753012,2.86097687256146,3.709110714077983]",1
,,,,,"[0.0,0.0,8.8,1.0]","[0.0,0.0,3.033324876932632,3.709110714077983]",1
,,,,,"[0.0,3.0,8.4,1.0]","[0.0,1.4469607794753012,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,3.0,8.4,1.0]","[0.0,1.4469607794753012,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,3.0,8.0,1.0]","[0.0,1.4469607794753012,2.757568069938756,3.709110714077983]",1
,,,,,"[0.0,0.0,7.8,1.0]","[0.0,0.0,2.6886288681902872,3.709110714077983]",1
,,,,,"[0.0,3.0,8.2,1.0]","[0.0,1.4469607794753012,2.8265072716872246,3.709110714077983]",1
,,,,,"[0.0,3.0,7.3,1.0]","[0.0,1.4469607794753012,2.516280863819115,3.709110714077983]",1
,,,,,"[0.0,3.0,7.3,1.0]","[0.0,1.4469607794753012,2.516280863819115,3.709110714077983]",1
,,,,,"[0.0,0.0,8.2,1.0]","[0.0,0.0,2.8265072716872246,3.709110714077983]",1
,,,,,"[0.0,0.0,7.1,1.0]","[0.0,0.0,2.447341662070646,3.709110714077983]",1
,,,,,"[0.0,0.0,8.5,1.0]","[0.0,0.0,2.9299160743099284,3.709110714077983]",1
,,,,,"[0.0,0.0,8.0,1.0]","[0.0,0.0,2.757568069938756,3.709110714077983]",1
,,,,,"[0.0,0.0,8.0,1.0]","[0.0,0.0,2.757568069938756,3.709110714077983]",1
,,,,,"[0.0,3.0,8.3,1.0]","[0.0,1.4469607794753012,2.86097687256146,3.709110714077983]",1
,,,,,"[0.0,3.0,8.4,1.0]","[0.0,1.4469607794753012,2.895446473435694,3.709110714077983]",1
,,,,,"(4,[3],[1.0])","(4,[3],[3.709110714077983])",0
,,,,,"[0.0,3.0,8.1,1.0]","[0.0,1.4469607794753012,2.7920376708129906,3.709110714077983]",1
,,,,,"[0.0,4.0,9.1,1.0]","[0.0,1.9292810393004016,3.136733679555335,3.709110714077983]",1
,,,,,"[0.0,3.0,7.5,1.0]","[0.0,1.4469607794753012,2.585220065567584,3.709110714077983]",1
,,,,,"[0.0,0.0,8.0,1.0]","[0.0,0.0,2.757568069938756,3.709110714077983]",1
,,,,,"[0.0,3.0,8.4,1.0]","[0.0,1.4469607794753012,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,3.0,8.6,1.0]","[0.0,1.4469607794753012,2.964385675184163,3.709110714077983]",1
,,,,,"[0.0,4.0,8.0,1.0]","[0.0,1.9292810393004016,2.757568069938756,3.709110714077983]",1
,,,,,"[0.0,3.0,8.9,1.0]","[0.0,1.4469607794753012,3.067794477806866,3.709110714077983]",1
,,,,,"[0.0,4.0,8.4,1.0]","[0.0,1.9292810393004016,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,3.0,8.0,1.0]","[0.0,1.4469607794753012,2.757568069938756,3.709110714077983]",1
,,,,,"[0.0,3.0,8.4,1.0]","[0.0,1.4469607794753012,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,3.0,7.9,1.0]","[0.0,1.4469607794753012,2.7230984690645217,3.709110714077983]",1
,,,,,"[0.0,3.0,8.8,1.0]","[0.0,1.4469607794753012,3.033324876932632,3.709110714077983]",1
,,,,,"[0.0,4.0,8.6,1.0]","[0.0,1.9292810393004016,2.964385675184163,3.709110714077983]",1
,,,,,"[0.0,3.0,8.3,1.0]","[0.0,1.4469607794753012,2.86097687256146,3.709110714077983]",1
,,,,,"[0.0,4.0,8.6,1.0]","[0.0,1.9292810393004016,2.964385675184163,3.709110714077983]",1
,,,,,"[0.0,3.0,8.0,1.0]","[0.0,1.4469607794753012,2.757568069938756,3.709110714077983]",1
,,,,,"[0.0,4.0,8.4,1.0]","[0.0,1.9292810393004016,2.895446473435694,3.709110714077983]",1
,,,,,"[0.0,3.0,8.0,1.0]","[0.0,1.4469607794753012,2.757568069938756,3.709110714077983]",1
,,,,,"[0.0,3.0,8.1,1.0]","[0.0,1.4469607794753012,2.7920376708129906,3.709110714077983]",1
,,,,,"[0.0,0.0,9.6,1.0]","[0.0,0.0,3.3090816839265074,3.709110714077983]",1
,,,,,"[0.0,3.0,9.1,1.0]","[0.0,1.4469607794753012,3.136733679555335,3.709110714077983]",1
,,,,,"[0.0,3.0,7.9,1.0]","[0.0,1.4469607794753012,2.7230984690645217,3.709110714077983]",1
,,,,,"[0.0,2.0,8.4,1.0]","[0.0,0.9646405196502008,2.895446473435694,3.709110714077983]",1
